	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	condition
N1N2_SNV2205	4.16195433638469	-5.5569691606476	1.94893364065694	-2.85128700368396	0.00435426476708866	0.00907910525903592	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV164	225.601503601205	-6.96294311443159	0.554551004667157	-12.5560012619773	3.6849020526757e-36	3.80126738065493e-35	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV968	31.3760701230898	8.33971200856614	0.74768235895164	11.1540842293773	6.83933743395903e-29	6.09322789570895e-28	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV828	17.8293031881955	23.9855181416467	1.7966082518644	13.3504441587397	1.17744767194263e-40	1.5385316246717e-39	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV1404	20.139953145771	6.0480659474801	0.574619391698916	10.5253425743229	6.60208486122673e-26	4.79262456592755e-25	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV836	25.5918029380034	-8.17516475760874	0.544254316286108	-15.0208542458507	5.36123141227941e-51	1.16755706311863e-49	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV2485	7.12797873379542	6.18620320730551	1.15926854655044	5.33629867360188	9.48630937057221e-08	3.32020827970027e-07	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV1771	12.1704806383194	5.70387366090998	0.82233052092111	6.9362300386479	4.02701673463874e-12	1.71585930432433e-11	Eukaryota	Stramenopiles	new_euk_B	NA	NA	NA	NA	overwintering
N1N2_SNV2758	3.62865182827152	-5.3540823002377	1.04333995027031	-5.13167572932538	2.8717393546922e-07	9.22722809048642e-07	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV198	191.290525096735	-11.072483479265	0.51776783110333	-21.3850355586408	1.84146948475976e-101	1.80464009506456e-99	Eukaryota	Stramenopiles	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA	overwintering
N1N2_SNV1652	10.1682623583584	-6.8413329645361	0.66866813291808	-10.231283095069	1.43603963291914e-24	9.38212560173836e-24	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV3465	2.20107669775499	3.40932989690666	1.11380710687931	3.06096978179552	0.00220621359265544	0.00475184466110402	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV2076	5.48165825199787	5.83708944340644	0.956830548772734	6.10044218476647	1.05775437068748e-09	4.06509522852444e-09	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV2531	4.22022744925691	-4.35259875965452	1.42133779227106	-3.06232535525549	0.00219624592886051	0.00475184466110402	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV2734	2.6936937944655	-4.92736100737487	1.70097148025394	-2.8967922534711	0.00376999314056287	0.00794536188763788	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
